,airline_sentiment,text,label
2885,negative, united Flight is awful only one lavatory functioning and people lining up bumping etc because can t use 1st class bathroom Ridiculous,2
2886,neutral, united Are the current on board food menus available anywhere online ,0
2887,neutral, United Airlines Is Changing Its MileagePlus Program Winners And Losers http t co F1yvAiO9ul http t co vGlx6Ykwqg,0
2888,negative, united actually we aren t Still parked here ,2
2889,neutral,Can I put sun in my carry on RT united ant kneee Right now 0 would be a heat wave so enjoy the warmth Can you bring some home JJ ,0
2890,positive, united Thanks ,1
2891,positive, united thanks for prompt response Another hour to enjoy vacation Perhaps a bug in the app as it still shows 2 55 ,1
2892,negative, united Why can I only apply one travel certificate per itinerary even when I have multiple flights ,2
2893,positive, united appreciate the sentiment and you were able to get me off the ground still missed connection,1
2894,negative, united I log in view reservations try view specific reservation amp takes me back to login page ,2
2895,neutral, united it just goes round amp round it s be going on for weeks ,0
2896,positive,Thank you united for your prompt assistance ,1
2897,negative, united 3 times my flight has been delayed and I miss my next flight This time you ve lost my baggage No clean clothes 337 flight Thx ,2
2898,neutral, united I looked on the email chain and there is not one,0
2899,negative, united why the hell do my miles expire Was really looking forward to accruing enough for a free flight in 10 years ,2
2900,positive, united thanks for more timely updates ,1
2901,neutral, united Do you also want the naming rights to my first child so I can fly home and visit with my mother and avoid more winter depression ,0
2902,negative, united I m familiar with the procedure It wouldn t be the first time UnitedAirlines lost one of my bags unhappytraveler,2
2903,negative, united I get that But doing it by giving inaccurate misleading info doesn t seem like a great way to do it hopethegearmakesitintact,2
2904,negative, united cleaning a regional jet takes an hour ,2
2905,positive, united Baggage check in and in flight crew the friendliest ever Flight 417 ogg to Lax ,1
2906,neutral, united thanks That means I have 30 minutes to make my international connection to HKG,0
2907,neutral, united JedediahBila KP I am not traveling we trying to cheer up Ms Bila ,0
2908,negative, united You just tried to charge 750 for a 539 flight when I tried to make a change over the phone not including 200 change fee WTF ,2
2909,positive, united Thank you for your offer All sorted out ,1
2910,neutral, united workin on it Waiting on him to reply ,0
2911,negative, united Flight 395 Rolling delay of 1 hour 42 minutes,2
2912,negative, united I believe just customer service At last post he was at Narita in Tokyo They sent him to a motel to rest Said standby maybe 2days,2
2913,positive, united I think this is the best first class I have ever gotten Denver to LAX and it s wonderful ,1
2914,positive, united of course not The inflight crew was great ,1
2915,positive, united well played LO ,1
2916,positive, united The pilot of UA475 just landed this plane like he was gently placing us into a pile of whipped cream Smoothest landing ever ,1
2917,negative, united your website is a complete joke when using safari ,2
2918,negative, united the new seats on the Canadaair regional jets just plain suck ,2
2919,neutral, united I m in another country please Cancelled Flight my reservation I ve booked through Swiss air,0
2920,negative, united airlines abuse your expensive video equipment and overcharge you for the privilege http t co SdyLuKR7pt via robthecameraman,2
2921,neutral, united found the flight on airfarewatchdog,0
2922,negative, united that s the reply Lol hoping that at least the new plane was maintained before the flight ,2
2923,negative, united Did somebody say flight upgrade ,2
2924,neutral, united DM sent ,0
2925,negative, united how is it tripitPro has accurate delayed dept times and 2hours Late Flightr I hear the same from you Just curious,2
2926,negative, united I can tell you Your airline has lost mine and my families business This day and age message through Twitter travels fast ,2
2927,negative, united trying to reach him for the number At last they have him on standbye and gave him 1 meal voucher for a potential 2 day standbye ,2
2928,negative, united this is very disappointing This is about customer service ,2
2929,negative, united boarded 6373 on time deplaned and now 100 minutes delay No transparency during Can t wait to give up my gold status for AA ,2
2930,negative, united 44Stocker my wife Sarah stocker did also called but could not connect me to customer service,2
2931,negative, united Once again I am victim to the scam that is your SHIT Customer Service this time the agent hung up on me WTF do you teach your staff,2
2932,negative, united flight 1219 My frustration boiled over after dealing with attendant Her attitude was ridiculous ,2
2933,negative, united nice to know that 3 hours of my time is worth 7 99 Free DirectTV for everyone Ever hear of preventative maintenance ,2
2934,negative, united that may be true however after 4 weeks matter is still unresolved and I can not get through to a supervisor or manager to help,2
2935,negative, united obviously no one knows a darn thing around here What are we to do if this does not get resolved http t co Ph8QJzaPKx,2
2936,neutral, united so going forward I shouldn t be Flight Booking Problems Star Alliance flights through the United App ,0
2937,negative, united I have those notifications yet the staff on board say that is not accurate and they have no departure time ,2
2938,negative, united I m not know if the seats are actually narrower than other seats but they feel like it Or maybe I m extra bloated ,2
2939,negative, united DM sent This lack if customer service is getting ridiculous ,2
2940,negative, united delayed going home AGAIN Getting really tired of delays ,2
2941,positive, united a big thanks to MN and KN or patiently clarifying the United domestic world to me ,1
2942,negative, united uh I booked it through the UA website Why the price change ,2
2943,negative, united I m rebooked Getting home 4 hours Late Flightr then planned What are the chances I ll ever see my bag again unhappytraveler,2
2944,negative, united United Club team is A amp got me a seat Late Flightr Still not sure why a last min UAL Cancelled Flightlation costs me yet overbooked folks get ,2
2945,negative, united will flight 5559 to YYC be providing free food when we are allowed back on board after the broken lightbulb ,2
2946,negative, united I was not looking for the fare to be returned on the companion flight don t understand why an additional 200 fee was necessary ,2
2947,positive, united thank you so much that helps a ton Whoever is on this Twitter acct today deserves a handshake and a hot chocoLate Flight problemsolvers,1
2948,neutral, united I left headphones in 2A on UA4689 from YHZ EWR It s a long shot to see them again But worth a tweet anyway ,0
2949,neutral, united 129 thousand fans of JedediahBila are asking you to give her your utmost effort to get her a safe flight with her baggage soon ,0
2950,positive, united can t wait 787 tpallini http t co oDlall5eDH,1
2951,negative, united flight 5187 to be specific The last two were probably 30 feet apart and within sight of each other,2
2952,positive, united love being told you would issue a refund when you couldn t get us out of the way of a hurricane to have it denied,1
2953,negative, united Without baggage for 5 days and can t get an update from Houston airport since Monday Worst service ever ,2
2954,negative, united yes to three different checkers along the walk to the plane Overkill,2
2955,negative, united Bummer Might have to go with AmericanAir card instead TY for response though ,2
2956,neutral, united LRuns4Cupcakes Please DM details we d like to help if you need assistance KP ClarkHoward Another Airlines Issues,0
2957,negative, united or I m sure her business will go else where for airline travel Her name is Kathryn Sotelo,2
2958,neutral, united please arrange someone at the arriving gate of flight 5957 to Chicago for either a refund or first class upgrade,0
2959,negative, united made to check in my carry on from Flight 1449 PBI to Newark Plane luggage stow not full U r costing me time money amp aggravation ,2
2960,negative, united I have no way to contact her while she is in flight This does not work for me Her father is about to pass and is heading to Denver,2
2961,negative, united we are on two more flights today let s hope the kit does not get the same treatment http t co Pd3nbAAkxH,2
2962,positive, united thnx ,1
2963,negative, united please help regarding PNR A3ZZ0F Why am I now waitlisted for a flight ,2
2964,neutral, united just emailed Jim Compton and Jeff Smisek so hopefully you pay attention now,0
2965,negative, united I hope you have a solution or insurance to cover this issue,2
2966,negative, united customer service has no solution and now we might miss a show because of them,2
2967,negative, united deserves to go bankrupt Just delayed an outbound flight with no info on the connecting flight that we re going to miss,2
2968,negative, united FLT 3444 delayed because of maintenance that s fixed but can t board because flight crew didn t stay in boarding area fail,2
2969,negative, united not anymore Finally was ticketed 5 min before takeoff Not sure why the confusion with a full fare GSA ticket ,2
2970,neutral, united Do miles earned with Explorer card count toward lifetime miles ,0
2971,negative, united yes but they still don t know where it is I ve been told it might be on a flight but now no one can confirm it ,2
2972,neutral, united what do I do if something is missing from my checked baggage ,0
2973,negative, United wind chill in Ithica 17 degrees and for the trouble of losing my clothes they give me a t shirt I ll burn it for warmth united,2
2974,positive, united Aw thanks for the kind words Totally makes these extra 6 hours sitting in an airport SOOOO much better ,1
2975,neutral, united Frontier is currently offering their weather exceptions for this weekend When is United ,0
2976,negative, united I will be calling customer service 2 delayed flights today now luggage misplaced a disaster across the board ,2
2977,negative, united crew has been notified passenger moved but water not fixed Now on tarmac two hours,2
2978,negative, united that link is not helpful as it does not put me In touch with management,2
2979,positive, united as u might imagine this former pilot was particularly touched by the gesture Please let the FO know keepingtraditionsalive,1
2980,negative, united Delayed CMH to ORD Ran to gate 1 min b4 connection door closed no one around Ignored by 1st agent 2nd super rude thanksunited,2
2981,negative, united upgrd I guess the Kit Kat looks tasty not going near that sandwich ,2
2982,negative, united Worse headed to LaGuardia delayed Why is the tray table the size of a mouse pad and the overhead the size on my pocket ,2
2983,negative, united now 1558 from IAH to EWR has broken entertainment system and no WiFi despite info on app http t co FY6f9rZB9k,2
2984,negative, united your customer service is terrible,2
2985,neutral, united done,0
2986,negative, united please send help ASAP to KathrynSotelo on flight 5957 to Chicago seat 9c Airlines http t co 9sKrLyrZ1O,2
2987,negative, united define appreciate I doubt the worst major airline in the USA acts on much feedback ,2
2988,negative, united yea a refund Your airline ruined our trip ,2
2989,positive, united just sent thank you ,1
2990,negative, united that s wonderful unfortunately doesn t help on this 4 hr flight between to major U S cities disappointed,2
2991,negative, united thanks for delaying our flight for an hour missing our connecting flight and terrible customer service neveragain vacation,2
2992,negative, united Got rebooked on AA One question though do you automatically refund the check baggage fees for flight that was Cancelled Flightled ,2
2993,negative, united It is all good your 1K team has been nothing short of amazing with everything ,2
2994,negative, united new flight has me at the window Kind of ticked off I pick aisle seats only because I hate window seats annoyed EpicFail,2
2995,positive, united good fly United businessFirst,1
2996,negative, united Nope had to rebook through Houston so I could get to Amarillo before 11pm Stuck in SFO for four hours ,2
2997,positive, united thanks i made it ,1
2998,neutral, united past,0
2999,positive, united Thanks Just DMed HN ,1
3000,negative, united is a money sucking airline with terrible terrible customer service,2
3001,negative, united are you aware your airbus fleet sucks I d rather fly a C 130 full of rubber dog shit ,2
3002,neutral, united Will you be issuing an exception policy for Denver for this weekend ,0
3003,neutral, united I need a breakdown of what the international surcharge on my flights cover Please help,0
3004,negative, united https t co jpd7NsGRT7 Fyi your staff are telling customers to try other carriers,2
3005,negative, united couldn t have possibly messed up our trip anymore than they did Thanks for being such a terrible airline disappointed,2
3006,negative, united no wifi on ua688 SF to Chicago 2015 That s all Ps This tech intro video is a joke EpicFail,2
3007,neutral, united flight 1051 on 2 23 Thx,0
3008,neutral, united Based on suggestions from other passengers I have a rental car on standby for 11 30 One way or another will be leaving then ,0
3009,negative, united Thanks for the reply The box is not mine and I m not missing one It was added to my bag ,2
3010,negative, united no wifi on flight ua688 SF to ORD Really Wow,2
3011,neutral, united gives Belfast a Hug with the new unmissable BusHug format impact busads thinkbus BelfastAirport http t co AvbdstJUJS,0
3012,negative, united is the worst http t co 27aitZl6nd,2
3013,negative, united haha and you have to clean a plane that was held overnight in a hangar Sounds lovely Also don t lie on screensand say it s weather,2
3014,negative, united no because you will charge me or delay me further United 1612 still waiting ,2
3015,neutral, united Adam Karren zj76 how did you save the 200 on checked snowboard Trying to check in this morning website wants 200 prem gold ,0
3016,neutral, united traveling from FRA thru IAD to MCO tomorrow concerned abt IAD weather Can t change until advisory issued Any advice ,0
3017,negative, united I did and then she made me feel guilty because it was economy plus and I didn t pay for the extra leg room,2
3018,negative, united my flight Cancelled Flightled new flight 5012 hopefully will not ,2
3019,negative, united 4781 Cancelled Flightled 5102newflight I will be upset if this one Cancelled Flights too I could have rented a car if they would have been honest ,2
3020,positive, united enjoyed heathrow lounge so much i almost missed my airnzusa flight ,1
3021,positive, united Hi flight 1051 If I try and book a new one way flight departure shows up as 3 55pm which seems accurate ,1
3022,negative, united Stuck in ORD because United can t find their airplane Lol upset terminal right now ,2
3023,neutral, united Who can I contact about requesting a charity donation ThankYou,0
3024,negative, united WTH be honest with your customers This better be the last change or we are driving home Has our plane left or not ,2
3025,negative, united 2nd time in a row I ve been over charged by 100 s of on my plane ticket WHY united I shouldn t have to check my CC everytime,2
3026,neutral, united I need a customer service manager to contact me please,0
3027,negative, united Is flight 5001 really going to leave Newark today If not tell us now and I will rent a car I do not want to end up stranded ,2
3028,negative, united thanks for the reply I saw that but it s not particularly helpful to a hungry vegetarian not flying those specific flights SHRUG ,2
3029,negative, united so funny that my boarding pass said PRIORITY a because clearly I am not a priority to this airline,2
3030,negative, united I m sure you will offer me nothing for the inconvenience you have put me through TWICE this month Tweets don t cut it,2
3031,negative, united or you ll Cancelled Flight my flight like you just did,2
3032,negative, united screwing me over twice in one month Learned my lesson We are through ,2
3033,negative, united what s the point of offering a free checked bag of you lose it ,2
3034,neutral, united Will do cheers,0
3035,positive, united Please send me the link email to formally compliment Irene in SLC on some of the best customer service ever PaxEx,1
3036,positive, united thnx LO ,1
3037,neutral, united yes Houston Int l Bush ,0
3038,neutral, united Hi My 2 23 flight from CUN EWR shows a departure of 2 55pm on my United app Can you confirm Doesn t look correct Thanks ,0
3039,negative, united flight from vegas to houston Cancelled Flighted this morning due to operation what does this mean Thank god I woke up early today ,2
3040,neutral, united Will do Thanks ,0
3041,negative, united education of that staff is needed he also turned away other first class cabin passengers with mileage plus ,2
3042,negative, united Item not mine mysteriously ended up in my checked bag after a EWR to YOW flight Missing a black box http t co SJQEmDtQmA,2
3043,negative, united My guess flight is going to be Cancelled Flightled because there are 16 empty seats and those who confirmed are not important frustrated,2
3044,negative, united instead of making seats smaller thinner so u can jam more people on a flight u should concentrate on maint amp happy customers,2
3045,negative, united I need assistance with pulling your agents heads out of their asses,2
3046,negative, united gates were DEFINITELY NOT FULL We were parked and wheels were chocked Customer service called it an UNMET ARRIVAL ,2
3047,negative, united abigailedge Another glitch ,2
3048,positive, united in spite of flight delay great customer service provided by Janet and baggage employee Karen You have 2 wonderful employees United ,1
3049,negative, united I really have a hard time believing that 4 planes in this terminal are all delayed for mechanical issues whatgives dullessucks,2
3050,neutral, United to start 3xdaily EmbraerSA ERJ145 flights from Chicago fly2ohare to Evansville on 4JUN avgeek,0
3051,negative, United flight 4465 almost half an hour at the Tarmac waiting for papers Cannot miss my connection at IAH ,2
3052,negative, united worst airline ever Thanks for the slew of rude agents and staff making my delayed flights even worse ,2
3053,negative, united no chance in hell I d rather walk Worst airline ever ,2
3054,negative, United is the worst major US airline More proof they re boarding the plane with the outside galley door open in 0 degree weather Wtf ,2
3055,neutral, united checked in boardingpass w no checkin bagage guess i m all set ,0
3056,positive, united always makes our cross country flights rad hemispheresmag here s baby flier Charlotte 8thtime5MonthsOld http t co kCqnwIXUCm,1
3057,negative, united Too Late Flight damage has been done Easily the worst airline experience of my life Missed two connecting flights amp days of work UA49,2
3058,negative, united don t know if you are aware that ALL of your premier access lines are closed in your terminal I feel the love ,2
3059,positive, united FirstClass to London on my way to LondonFashionWeek LFW15 ,1
3060,negative, united disappointed to learn you are now charging 200 to use 20k miles for upgrades on PS JFK flights Will be looking at alternatives ,2
3061,neutral, united just kidding with you I ll send you my stuff now Thanks,0
3062,negative, united FAANews unacceptable practice to leave Cancelled Flighted flight passengers to sleep on cement with no pillows UA1724 http t co nDTLJ15ZpU,2
3063,negative, united can u get the crew member that we are waiting on We were told 40 minutes ago they landed here and they are still not to our gate ,2
3064,negative, united Flight 6212 massive fail They delaying to transport a crew member causing many to miss connections Unreal ,2
3065,negative, united I had the worst customer experience at Houston intl airport Your ground support even for staralliance members is a nightmare,2
3066,neutral, united tremendous What would you recommend ,0
3067,negative, united can you help me with a delayed flight as im going to miss my connection ,2
3068,negative, united I m counting on you please don t let me down delayed again needtocatchmynextflight alreadyrebookedonce,2
3069,negative, United why is it so impossible to actually get a passenger AND their luggage to their final destination ,2
3070,positive, united huge kudos to the FO of Sunday s flt 1623 sjo iad Handed my daughter her first pair of wings Keeping traditions alive ,1
3071,positive, united awesome new plane flight 1701,1
3072,negative, united flightdelay on an early craft arrival because pilot is stuck in traffic fail nocustomerservice nocompensation,2
3073,negative, united oh united how much I despise thee ,2
3074,neutral, united lets see of we can do this today Hoping for an on time dept dullestostatecollege runningonthreehoursofsleep delayedovernight,0
3075,positive, united flt 912 Capt Herman is amazing Came out before flight to play ask the captain anything Wonderful ambassador to the airline ,1
3076,negative, united your airline is the biggest joke of an operation in the world ,2
3077,negative, united what is going on with baggage claim in Newark tiredandwanttogohome,2
3078,negative, united usually your lounge staff are fantastic Except today in MCO where almost denied entry to lounge even though traveling united first,2
3079,negative, united 2 5 hour delay misplaced bag poor communication and the worse unsympathetic confrontational gate agent Not cool ,2
3080,negative, united Why don t you respond to my e mails of facebook msg I m still wating for my tickets I m getting really angry and disappointed ,2
3081,negative, united then send your Jeff Smisek on a trip with JetBlue or SW and make sure he takes notes I would never choose to fly United again ,2
3082,negative, united So disappointed in the service and the level of staff communication Such a bummer ,2
3083,neutral, United pre dawn flight to miami from EWR Annual SOBEWFF trip Now ,0
3084,negative,Thanks united great news that u won t refund tickets due to a bad exchange rate I knew u would come to your senses gg8929 UnitedAppeals,2
3085,positive, united Thank you for a wonderful global first class flight on your 777 to FRA Great service cont http t co 46n9kDcsxU,1
3086,neutral, united got it look forward to hearing from you soon,0
3087,negative, united how are you going to rectify this Please direct me to your complaints department stickingToDelta,2
3088,positive,Thank you United united dan roam That s a beautiful place to stay a day longer Have you been re booked If not let me know MN ,1
3089,negative, united to top it all off your flight attendants talked loudly throug the flight even when the lights were dimmed Resulting in no sleep,2
3090,negative, united it seems like no one from United can help me Lots of fingers pointed zero people stepping up At least the gate has Oreos,2
3091,negative, united they have access to the dial that makes it faster do they ,2
3092,neutral, united I ll be impressed if I actually get a response ,0
3093,neutral, united hi I left my asus tablet on flight to Heathrow from Newark on 16th feb and wondered how long it takes for someone to check if found ,0
3094,negative, united 1hr delay at the start huge queues at security no representative to meet us rude staff at baggage reclaim inefficient,2
3095,negative, united has the worst flight attendants They are like those angry and drunk aunts that we all have Everything has to be an argument ,2
3096,negative, united its in black and white EU law and all that 600 for a Cancelled Flightled flight I want my money,2
3097,negative, united accordingly U dont respond at all,2
3098,negative, united the extra care airline unitedairlines they don t care Trust me There customerservice is non existent They don t have 1,2
3099,negative, united Another unfortunate case of bad luck usually maintenance issue They are now swapping planes to ONT will get in Late Flight ,2
3100,negative, united it s a shame the great customer service wasn t continued in SFO Slightly absurd,2
3101,negative, united onlyinAmerica 18 days and not a word from unitedairlines customerservices Bad PR guys ,2
3102,negative, united still awaiting a reply from ur customer services 18 days no response Lousy unitedairlines,2
3103,positive, united alright thank you Much appreciated ,1
3104,negative, united has happened on other airlines and they ve given out flight vouchers and been more transparent about the problems ,2
3105,negative, united thanks I m booked Just spent an extra 7 hrs in the TEN w no explanation Now flying middle seat to CHAR instead of Memphis ,2
3106,negative, united agent Rick Clifton in SEA HOU told him my father is dying and needed to get my handbag on the cabin he did nothing shameful,2
3107,neutral, united Any chance you are allowing reFlight Booking Problems yet for travel out of Denver this weekend due to impending storm ,0
3108,negative,we all watched as the crew was escorted from the back to 1st class Prebooked Really united JenniferWalshPR Your dissatisfaction is und,2
3109,positive, united Thanks Yup I m all set It happens SLC ground staff were prompt helpful and courteous ,1
3110,negative,There were plenty of empty seats in coach united Your dissatisfaction is understood Crew members traveling for duty are pre booked on f ,2
3111,negative, united all good didn t die or anything As they say you get what you pay for ,2
3112,positive, united thank you so much How will you be able to contact me ,1
3113,positive, united maybe on my return trip ,1
3114,negative, united your staff at LaGuardia and Lagos Nigeria were unprofessional uncaring and not helpful Ou,2
3115,positive, united i got it at the gate thanks for checking ,1
3116,negative, united U kept passengers waiting all night 4 a plane that was being put out of service Leaving everyone stranded for night inexcusable,2
3117,positive, united I especially like how you upgraded three of your crew members to first class instead of passengers keepitclassy customerservice,1
3118,neutral, united hello I got off a flight a few months ago and constantly think about your peanuts Is there anyway you could send me some ,0
3119,negative, united Flt 359 lax to EWR Your pilot bragged about getting to EWR early only to wait 20 min for a jetway driver Thanks United ,2
3120,negative, united I am so happy I found my phone because this is easily the worst system I have ever heard of,2
3121,negative,Really 9 hours united JenniferWalshPR We don t like delays and do all we can to avoid them We ll have you on your way ASAP,2
3122,negative, united RobBogart After I waited hours in the airport being told one fib after the other Why can t UAL be honest with its customers ,2
3123,neutral, united round trip ,0
3124,negative, united well As of yet our checked bag has already vanished and we haven t left the airport yet ,2
3125,neutral, united thanks Not tonight it would seem http t co WNdcEO5QlK,0
3126,negative, united a rapid trip plane ticket from Idaho to California that doesn t have problems would be wonderful,2
3127,negative, United agent did help me My point there s a problem amp I don t want it to mess up somebody else s plans Can u flow this to tech team pls ,2
3128,negative, united being delayed 3 hours for a one hour flight is more than frustrating I m also unable to get a decent meal at this hour Never again,2
3129,positive, united please do She went above and beyond what she had to do she made us her number one priority ,1
3130,positive, united you guys are awesome Thanks ,1
3131,positive, united thnx,1
3132,negative, united I think we both have the same status nothing I think there was a bug in your search system ,2
3133,positive, united Anna Palm Springs gate 19 deserves a medal Handled 30 ppl missing flights like a pro ,1
3134,negative, united I would appreciate an answer on why we weren t alerted flight had been Cancelled Flighted until plane landed showsomerespect,2
3135,negative, united WTF Delay after delay 15 hours YVR to SAN Unacceptable Flight Crew Availability is to blame NEVER AGAIN with united,2
3136,negative, united I think I left my phone on my flight Help ,2
3137,positive, united Great customer service again Thanks ,1
3138,positive, united thanks that would be awesome ,1
3139,negative, united hey left my computer bag w computer inside in United filed online report no response,2
3140,negative, united they were empty upon takeoff Why can t someone sit there ,2
3141,negative, united here is my case id 8473573 Requested on 2 5 now it s 2 19 7 10 days I ll get a response BS ,2
3142,positive, united nawww United is my fave airline ,1
3143,negative, united Thanks Formed submitted I m not betting someone would be honest enough to turn it in though ,2
3144,neutral, united I have a LH return business ticket from Den to Fra If I fly domestic with you bag can be checked through to Fra no need to claim ,0
3145,neutral, united Also a United phone representative just asked me for my web password Is that normal ,0
3146,negative, united 202 88 is the difference between the booked flights do you want screen shots ,2
3147,neutral, united what is your plan to reduce delays ,0
3148,neutral, united I m searching for flights to redeem with miles and getting different search results with 2 user accounts Any reason why ,0
3149,negative, united rebooked 24 hours after original flight to say your handling of situation was bad would be an understatement ,2
3150,negative, united I would like a supervisor to talk to Now we are waiting for a flight attendant as one just walked off amp left http t co IpaamZT7Z2,2
3151,neutral, United What s your phone number Customer service question ,0
3152,neutral, united Kids left a kindle fire HD 6 onboard UA1037 ORD SFO today Row 9ABC DEF we had the whole row amongst the 5 of us Help ,0
3153,negative, united understanding the situation we waited and it was opened until 10 30pm,2
3154,positive, united BattierCCIpuppy We hope to see you on board soon and thanks for the tweet EY ,1
3155,negative, united just curious when are you going to to finally learn customerservice ,2
3156,negative, united nice 2 see U have a sense of humor 3hourdelay Just want 2 B home but I ll settle for that beer Once safely in the air of course,2
3157,neutral, united Surprised to go from 1K last year to nothing this year What happened to the soft landing policy of no more than 1 level ,0
3158,neutral, united 2 2 pay in person at Portland airport I will be flying from Perth This has been done by US Air ,0
3159,negative, united she was at the service desk at gate 21 and helped us find a flight to get us to our dest on time when our flight got Cancelled Flightled,2
3160,negative, united 1 2 thanks but does not answer my question I want to make a reservation over the phone in Perth hold for 24hrs and have family,2
3161,negative, united it wasn t a delay so much as a straight Cancelled Flightlation Weather wasn t an issue either ,2
3162,negative, united thanks for ruining my wedding anniversary Flight UA4904 from EWR to RDU is delayed by over 3 hours and will reach home the nxt day,2
3163,negative, united Cancelled Flightled my flight for some unknown reason and haven t really given me anything to make my overnight layover tolerable,2
3164,negative, united the only difference being you are both responsible and in a position to do something about them Learn from Delta,2
3165,negative, united Yes my flight was rebooked I m just losing trust in you if I want to get anywhere on time ,2
3166,positive, united thanks keep up the good work,1
3167,positive, united 4 reFlight Booking Problemss in last 2 days and each time united wait time was lt 5 seconds Kudos to you for excellent customer service ,1
3168,negative, united any solutions ,2
3169,neutral, united what do you have in mind ,0
3170,negative, united I m over you Evry 1st flight I take w you is delayed amp evry 2nd is on time so its missed evry time lastflightofthenight breakup,2
3171,negative, united I did they did not I did submit a complaint on line and never heard back from that I don t have that ID you should find it,2
3172,negative, united it is cool Your customer told me they didn t care either It is expected,2
3173,negative, United is freaking worthless I hate this airline http t co dN1if2cGwE,2
3174,negative, united not once did US3645 leave ORD on time this week shameful,2
3175,negative, united very missed daughter suppose to dpt ORD 5 59pm dpted 8 30pm checked week s average for UA3645 shameful 7 day average 7 54pm,2
3176,neutral, united I understand why the pilot would get on the plane but why 1st class There were 5 empty coach seats near me I m a Premier 1K ,0
3177,negative, united fantastic night of waiting 3 hours for a delayed airplane only for you to alert us flight is Cancelled Flighted when it lands whatstatus,2
3178,neutral, united can someone at the airport in Portland OR buy a ticket to be picked up and used 2days Late Flightr by other from Perth AUSTRALIA Thanks,0
3179,negative, united they did on a delta flight out of LAX which is why I should be compensated for my rental car there ,2
3180,neutral, united What happens on 9 11 a m of 9 11 2spooky 4me m8 such spook much scare,0
3181,negative, united I missed it Set up in a hotel Flights delayed in SFO for 6 hours Missing all the wedding festivities of my friend ,2
3182,positive, united sent you my confirmation via DM Thank you very much,1
3183,negative, united board customers onto a plane with no pilot The only thing that expedited was my time in line to book a new flight Come on now ,2
3184,positive, united that would be great 1k us651621,1
3185,negative, united stuck on Tarmac for the last hour Can I have a beer ,2
3186,negative, united recent services have been very bad My NC trip was aweful Very disappointed and never again ,2
3187,negative, united it s freezing on the gate bridge waitingforbags united EWR,2
3188,negative, united landed at 9 40pm and have been standing waiting for bags that were loaded plane side why isn t the crew here tiredcustomer,2
3189,negative, united dmb41shows I need this plane to get to buffalo so I can leave tonight Any progress ,2
3190,negative, united I was rebooked however it would have been nice not to have to wait an extra 90 min at the airport How will you make this right ,2
3191,negative, united enough already with the poor service old planes ridiculous routing 1k and time to find a new airline with status match ,2
3192,negative, united after waiting for over an hour we finally board the airplane only to find out we have to call maintenance And this plane is cold ,2
3193,negative, united broke my suitcase amp refuses to give me a repair estimate http t co zOUOwgv3Q6,2
3194,negative, united How do you have a scheduled flight WITH NO CREW Is there a competent person working at this airline ,2
3195,negative, united can you help 689 in Chicago get to a gate Freezing on a runway seems like a crappy thing to do at 9pm,2
3196,neutral, united HiltonWorldwide Caravannyc MaysvilleNYC Let s go Join me on my first trip back to NYC as a tourist http t co egaEjtRGLb,0
3197,negative, united thanks KP What s going on w 4840 tonight Bad update online and phone Can t u give customers good info Not waste their time ,2
3198,positive, united just got my lost Kindle in the mail Thanks again ,1
3199,neutral, united is z and d code airfare refundable ,0
3200,neutral, united no didn t notice I was 38A until start of boarding Assumed I was 8E By time boarding started GAs had cleared standbys full flt,0
3201,negative, united 4840 You knew this flight was delayed MHT to ALB to EWR to get crew Your arrival is Late Flightr than the departure Update your site ,2
3202,negative, united 4840 WTF Why can t you update your times in a timely manner You ve known the fight was more delayed Ur service is awful CNN,2
3203,neutral, united Want to book a multi city fare Have miles for 1of 2 flights An option to pay for 1st flight with miles 2nd with UMP Visa Thanks ,0
3204,negative, united waiting on plane so long missed my connecting flight it left early That s the last flight out tonight HELP http t co hBsJ2sF17h,2
3205,negative, united ORD Gate C25 and Flt 619 remember when customers were valuable Is it so hard to be nice to someone lugging a guitar amp carryons ,2
3206,negative, united WORST SERVICE EVER Denied access to our flight and then moved flight 6 times How hard is it to schedule a gate Delta next time ,2
3207,negative, united I m in Denver my bag is in San Jose See something wrong here ,2
3208,negative, united you know it s bad when you re praying your connecting flight is delayed because of an hour delay on the first flight JustGetMeHome,2
3209,negative, united playing hide and seek with the gate We can t find it it should only be a few more minutes ,2
3210,negative, united so our flight into ORD was delayed because of Air Force One but the last flight to SBN is at 8 20 5 mins from now we just landed ,2
3211,neutral, united your flights are really cheap what s the catch,0
3212,neutral, united LGJW7B I voluntarily rerouted 1st leg of journey was in economy and was supposed to be 8B Res agent said she d reserve it for me,0
3213,negative, united 5 5hrs Late Flightr and you still can t figure it out Random text updates embarrassing ua3728 http t co vFTUyJh45X,2
3214,negative, united stop picking on us CLE http t co VTqE8m1L3i,2
3215,negative, united booked flight in sept to get best price for April to usa checked now and they are 67 cheaper what a con unhappy customer ripoff,2
3216,negative, united too big to properly manage flight times There is such a thing as being on time Or at least prepared with a gate when we land ,2
3217,negative, united I d rather have the truth about my flight than be forced to sit here all day Trying to get home to this http t co U69fAfqhsF,2
3218,positive, united Leaving soon Thanks ,1
3219,negative, united another DELAYED day Delayed outbound delayed inbound and now waiting at EWR for a gate to be ready how is it not ready ,2
3220,negative, united Cancelled Flighted my mileage plus award reservation G6455C same day Have yet to see my miles back despite agent confirmation ,2
